,ID,Name,InChI,InChIKey,SMILES,Solubility,SD,Ocurrences,Group,MolWt,MolLogP,MolMR,HeavyAtomCount,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumValenceElectrons,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,RingCount,TPSA,LabuteASA,BalabanJ,BertzCT
3693,B-61,"1,1-dimethylhydrazine","InChI=1S/C2H8N2/c1-4(2)3/h3H2,1-2H3",RHUYHJGZWVXEHW-UHFFFAOYSA-N,CN(C)N,1.2211,0.0,1.0,G1,60.1,-0.5783,17.8744,4.0,2.0,1.0,2.0,0.0,26.0,0.0,0.0,0.0,0.0,29.26,26.17405353,2.323790008,8.754887502
4337,B-1022,"2-butenoic acid, 4-[(aminocarbonyl)amino]-4-oxo-","InChI=1S/C5H6N2O4/c6-5(11)7-3(8)1-2-4(9)10/h1-2H,(H,9,10)(H3,6,7,8,11)",GWGLGTKSTGSWGQ-UHFFFAOYSA-N,NC(=O)NC(=O)C=CC(O)=O,-1.9202,0.0,1.0,G1,158.113,-1.1779,34.5019,11.0,3.0,3.0,6.0,2.0,60.0,0.0,0.0,0.0,0.0,109.49,61.67796939,3.877958683,220.5223074
1585,A-2665,dodecanoyl dodecaneperoxoate,"InChI=1S/C24H46O4/c1-3-5-7-9-11-13-15-17-19-21-23(25)27-28-24(26)22-20-18-16-14-12-10-8-6-4-2/h3-22H2,1-2H3",YIVJZNGAASQVEM-UHFFFAOYSA-N,CCCCCCCCCCCC(=O)OOC(=O)CCCCCCCCCCC,-6.600567801,0.238560627,2.0,G3,398.628,7.8296,115.872,28.0,4.0,0.0,4.0,20.0,166.0,0.0,0.0,0.0,0.0,52.6,173.6123496,3.317102084,320.514311
6359,B-3337,12-butyl-benz[a]anthracene,"InChI=1S/C22H20/c1-2-3-10-21-19-11-6-5-9-17(19)15-18-14-13-16-8-4-7-12-20(16)22(18)21/h4-9,11-15H,2-3,10H2,1H3",KJVSEQDCUWFQHF-UHFFFAOYSA-N,CCCCc1c2ccccc2cc3ccc4ccccc4c13,-7.5245,0.0,1.0,G1,284.402,6.4888,97.572,22.0,0.0,0.0,0.0,3.0,108.0,4.0,0.0,0.0,4.0,0.0,130.9361652,2.187060373,963.3137053
3117,A-5189,dioxomanganese,InChI=1S/Mn.2O,NUJOXMJBOLGQSY-UHFFFAOYSA-N,O=[Mn]=O,-6.161048404,0.0,1.0,G1,86.936,-0.2401,1.373,3.0,2.0,0.0,3.0,0.0,19.0,0.0,0.0,0.0,0.0,34.14,23.39474668,3.265986324,23.77443751
938,A-1627,2-methyloctane-2-thiol,"InChI=1S/C9H20S/c1-4-5-6-7-8-9(2,3)10/h10H,4-8H2,1-3H3",MPBLPZLNKKGCGP-UHFFFAOYSA-N,CCCCCCC(C)(C)S,-3.990160109,0.194517551,3.0,G5,160.326,3.6652,51.824,10.0,1.0,1.0,1.0,5.0,62.0,0.0,0.0,0.0,0.0,0.0,70.81385461,3.043758409,71.28767654
2082,A-3437,"1H-1,2,4-triazol-3-amine","InChI=1S/C2H4N4/c3-2-4-1-5-6-2/h1H,(H3,3,4,5,6)",KLSJWNVTNUYHDU-UHFFFAOYSA-N,Nc1[nH]ncn1,0.832692995,0.291135428,4.0,G5,84.082,-0.6131,20.7951,6.0,3.0,2.0,4.0,0.0,32.0,1.0,0.0,0.0,1.0,67.59,34.38820377,3.049648321,109.1085055
7478,C-850,"5,5-diphenylbarbituric  acid","InChI=1S/C16H12N2O3/c19-13-16(11-7-3-1-4-8-11,12-9-5-2-6-10-12)14(20)18-15(21)17-13/h1-10H,(H2,17,18,19,20,21)",IKVPZYAOGOJTLK-UHFFFAOYSA-N,O=C1NC(=O)C(C(=O)N1)(C2=CC=CC=C2)C3=CC=CC=C3,-4.2,0.0,1.0,G1,280.283,1.3387,75.3454,21.0,3.0,2.0,5.0,2.0,104.0,2.0,1.0,1.0,3.0,75.27,120.5267253,2.280890327,649.3166523
6223,B-3191,"2,3',4,5-tetrachlorobiphenyl",InChI=1S/C12H6Cl4/c13-8-3-1-2-7(4-8)9-5-11(15)12(16)6-10(9)14/h1-6H,LQEGJNOKOZHBBZ-UHFFFAOYSA-N,Clc1cccc(c1)c2cc(Cl)c(Cl)cc2Cl,-7.1299,0.0,1.0,G1,291.992,5.9672,71.918,16.0,0.0,0.0,4.0,1.0,82.0,2.0,0.0,0.0,2.0,0.0,113.7015622,2.600869108,534.5371241
9833,G-991,Propetamphos,"InChI=1S/C10H20NO4PS/c1-6-11-16(17,13-5)15-9(4)7-10(12)14-8(2)3/h7-8H,6H2,1-5H3,(H,11,17)",BZNDWPRGXNILMS-UHFFFAOYSA-N,CCNP(=S)(OC)OC(=CC(=O)OC(C)C)C,-3.408,0.0,1.0,G1,281.314,2.3388,71.0407,17.0,5.0,1.0,7.0,7.0,100.0,0.0,0.0,0.0,0.0,56.79,107.7356142,4.503497672,330.2675874
824,A-1429,"2-(3,8-dimethyl-1,2,3,4,5,6,7,8-octahydroazulen-5-yl)propan-2-yl acetate","InChI=1S/C17H28O2/c1-11-6-8-14(17(4,5)19-13(3)18)10-16-12(2)7-9-15(11)16/h11-12,14H,6-10H2,1-5H3",DRFSOBZVMGLICQ-UHFFFAOYSA-N,CC1CCC(CC2=C1CCC2C)C(C)(C)OC(C)=O,-5.022602512,0.0,1.0,G1,264.409,4.4908,77.774,19.0,2.0,0.0,2.0,2.0,108.0,0.0,0.0,2.0,2.0,26.3,117.1521268,2.192632625,392.0662455
4099,B-724,succinyl peroxide,"InChI=1S/C8H10O8/c9-5(10)1-3-7(13)15-16-8(14)4-2-6(11)12/h1-4H2,(H,9,10)(H,11,12)",MKTOIPPVFPJEQO-UHFFFAOYSA-N,OC(=O)CCC(=O)OOC(=O)CCC(O)=O,-0.8471,0.0,1.0,G1,234.16,-0.2826,45.9236,16.0,6.0,2.0,8.0,6.0,90.0,0.0,0.0,0.0,0.0,127.2,89.68478751,3.625165652,264.4134357
9729,F-1206,"5-chloro-6-(pyrrolidin-1-ylmethyl)-1H-pyrimidine-2,4-dione","InChI=1S/C9H12ClN3O2/c10-7-6(5-13-3-1-2-4-13)11-9(15)12-8(7)14/h1-5H2,(H2,11,12,14,15)",UMNZZEWMRNSNIH-UHFFFAOYSA-N,O=C1NC(=O)C(Cl)=C(CN2CCCC2)N1,-1.54,0.0,1.0,G1,229.667,0.3124,57.2044,15.0,3.0,2.0,6.0,2.0,82.0,1.0,1.0,1.0,2.0,68.96,91.0757226,2.267759756,459.1606405
4053,B-655,eicosane,"InChI=1S/C20H42/c1-3-5-7-9-11-13-15-17-19-20-18-16-14-12-10-8-6-4-2/h3-20H2,1-2H3",CBFCDTFDPHXCNY-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCCCC,-8.1724,0.0,1.0,G1,282.556,8.048,94.454,20.0,0.0,0.0,0.0,17.0,122.0,0.0,0.0,0.0,0.0,0.0,129.6731512,2.889676678,132.1173001
7271,C-226,5-ethyl-5-octylbarbituric  acid,"InChI=1S/C14H24N2O3/c1-3-5-6-7-8-9-10-14(4-2)11(17)15-13(19)16-12(14)18/h3-10H2,1-2H3,(H2,15,16,17,18,19)",NTYYDJWPKCQQIB-UHFFFAOYSA-N,CCCCCCCCC1(CC)C(=O)NC(=O)NC1=O,-3.94,0.0,1.0,G1,268.357,2.4994,72.3984,19.0,3.0,2.0,5.0,8.0,108.0,0.0,1.0,1.0,1.0,75.27,114.061958,2.481974676,332.6002395
9341,F-676,2-Chloro-6-[(E)-(4-hydroxyphenyl)diazenyl]benzoic acid,"InChI=1S/C13H9ClN2O3/c14-10-2-1-3-11(12(10)13(18)19)16-15-8-4-6-9(17)7-5-8/h1-7,17H,(H,18,19)",LHLCXSQOCYXPTJ-UHFFFAOYSA-N,O=C(O)C1=C(N=NC2=CC=C(O)C=C2)C=CC=C1Cl,-3.0,0.0,1.0,G1,276.679,4.1592,70.6941,19.0,4.0,2.0,6.0,3.0,96.0,2.0,0.0,0.0,2.0,82.25,113.3534731,2.355750585,638.836631
2916,A-4889,2-phenoxyethyl 2-methylpropanoate,"InChI=1S/C12H16O3/c1-10(2)12(13)15-9-8-14-11-6-4-3-5-7-11/h3-7,10H,8-9H2,1-2H3",MJTPMXWJHPOWGH-UHFFFAOYSA-N,CC(C)C(=O)OCCOc1ccccc1,-3.026343537,0.0,1.0,G1,208.257,2.2646,57.734,15.0,3.0,0.0,3.0,5.0,82.0,1.0,0.0,0.0,1.0,35.53,90.00966836,2.150620831,292.9953584
1988,A-3276,2-[(4-aminophenyl)amino]-5-nitrobenzene-1-sulfonic acid,"InChI=1S/C12H11N3O5S/c13-8-1-3-9(4-2-8)14-11-6-5-10(15(16)17)7-12(11)21(18,19)20/h1-7,14H,13H2,(H,18,19,20)",GSITZZUEHIPPMH-UHFFFAOYSA-N,Nc1ccc(Nc2ccc(cc2[S](O)(=O)=O)[N+]([O-])=O)cc1,-1.59828953,0.0,1.0,G1,309.303,2.1673,77.0481,21.0,6.0,3.0,9.0,4.0,110.0,2.0,0.0,0.0,2.0,135.56,119.6598619,2.476591218,787.0402395
702,A-1222,tris(2-methylpropyl) phosphate,"InChI=1S/C12H27O4P/c1-10(2)7-14-17(13,15-8-11(3)4)16-9-12(5)6/h10-12H,7-9H2,1-6H3",HRKAMJBPFPHCSD-UHFFFAOYSA-N,CC(C)CO[P](=O)(OCC(C)C)OCC(C)C,-3.002154647,0.0,1.0,G1,266.318,4.1123,69.9765,17.0,4.0,0.0,5.0,9.0,104.0,0.0,0.0,0.0,0.0,44.76,105.6438606,4.291086823,200.6210278
1461,A-2511,3-[[2-(2-cyanoethoxy)ethyl][4-[(4-nitrophenyl)azo]phenyl]amino]propiononitrile,"InChI=1S/C20H20N6O3/c21-11-1-13-25(14-16-29-15-2-12-22)19-7-3-17(4-8-19)23-24-18-5-9-20(10-6-18)26(27)28/h3-10H,1-2,13-16H2",PNWYPUYECVECFF-UHFFFAOYSA-N,[O-][N+](=O)c1ccc(cc1)N=Nc2ccc(cc2)N(CCOCCC#N)CCC#N,-4.593750027,0.0,1.0,G1,392.419,4.66056,107.2064,29.0,8.0,0.0,9.0,11.0,148.0,2.0,0.0,0.0,2.0,127.91,168.1663261,1.981954006,897.7991581
5054,B-1878,oxythioquinox,"InChI=1S/C10H6N2OS2/c1-5-2-3-6-7(4-5)12-9-8(11-6)14-10(13)15-9/h2-4H,1H3",FBQQHUGEACOBDN-UHFFFAOYSA-N,Cc1ccc2nc3SC(=O)Sc3nc2c1,-5.3698,0.0,1.0,G1,234.305,2.57462,63.805,15.0,5.0,0.0,5.0,0.0,74.0,3.0,0.0,0.0,3.0,42.85,93.05170646,2.514523654,714.0826798
1056,A-1817,2-methoxy-4-(prop-2-en-1-yl)phenol,"InChI=1S/C10H12O2/c1-3-4-8-5-6-9(11)10(7-8)12-2/h3,5-7,11H,1,4H2,2H3",RRAFCDWBNXTKKO-UHFFFAOYSA-N,COc1cc(CC=C)ccc1O,-2.153177924,0.295488962,2.0,G3,164.204,2.1293,48.5598,12.0,2.0,1.0,2.0,3.0,64.0,1.0,0.0,0.0,1.0,29.46,72.10934753,2.959559547,279.1671103
1317,A-2284,"4,11-diamino-2-(3-methoxypropyl)-1H,2H,3H,5H,10H-naphtho[2,3-f]isoindole-1,3,5,10-tetrone","InChI=1S/C20H17N3O5/c1-28-8-4-7-23-19(26)13-14(20(23)27)16(22)12-11(15(13)21)17(24)9-5-2-3-6-10(9)18(12)25/h2-3,5-6H,4,7-8,21-22H2,1H3",WBCXRDHKXHADQF-UHFFFAOYSA-N,COCCCN1C(=O)c2c(N)c3C(=O)c4ccccc4C(=O)c3c(N)c2C1=O,-7.323792769,0.428666248,2.0,G3,379.372,0.465,109.7198,28.0,8.0,2.0,8.0,4.0,142.0,4.0,0.0,0.0,4.0,134.48,156.7947121,2.247527723,1370.536183
7244,C-158,anthranilic  acid;  2-aminobenzoic  acid,"InChI=1S/C7H7NO2/c8-6-4-2-1-3-5(6)7(9)10/h1-4H,8H2,(H,9,10)",RWZYAGGXGHYGMB-UHFFFAOYSA-N,NC1=C(C=CC=C1)C(O)=O,-1.52,0.045405055,3.0,G5,137.138,0.967,37.8137,10.0,2.0,2.0,3.0,1.0,52.0,1.0,0.0,0.0,1.0,63.32,58.09199178,3.152941447,257.5379489
3912,B-401,"l-valine, n-acetyl-","InChI=1S/C7H13NO3/c1-4(2)6(7(10)11)8-5(3)9/h4,6H,1-3H3,(H,8,9)(H,10,11)/t6-/m0/s1",IHYJTAOFMMMOPX-LURJTMIESA-N,CC(C)[C@H](NC(C)=O)C(O)=O,-0.3599,0.0,1.0,G1,159.185,0.2317,40.0785,11.0,2.0,2.0,4.0,3.0,64.0,0.0,0.0,0.0,0.0,66.4,65.59604385,4.115294608,165.0686214
2140,A-3528,potassium tetrafluoroboranuide,"InChI=1S/BF4.K/c2-1(3,4)5;/q-1;+1",AKEBROIVCDHVSD-UHFFFAOYSA-N,[K+].F[B-](F)(F)F,-1.367638869,0.0,1.0,G1,125.902,-1.696,10.186,6.0,0.0,0.0,6.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,74.81422737,0.0,23.01955001
3219,A-5318,"2,5,8,11,14-pentaoxapentadecane","InChI=1S/C10H22O5/c1-11-3-5-13-7-9-15-10-8-14-6-4-12-2/h3-10H2,1-2H3",ZUHZGEOKBKGPSW-UHFFFAOYSA-N,COCCOCCOCCOCCOC,0.653097658,0.0,1.0,G1,222.281,0.329,56.209,15.0,5.0,0.0,5.0,12.0,92.0,0.0,0.0,0.0,0.0,46.15,91.5914562,2.807925739,97.98587018
4977,B-1792,diethyl suberate,"InChI=1S/C12H22O4/c1-3-15-11(13)9-7-5-6-8-10-12(14)16-4-2/h3-10H2,1-2H3",PEUGOJXLBSIJQS-UHFFFAOYSA-N,CCOC(=O)CCCCCCC(=O)OCC,-2.5304,0.0,1.0,G1,230.304,2.4532,60.968,16.0,4.0,0.0,4.0,9.0,94.0,0.0,0.0,0.0,0.0,52.6,97.30374895,3.20890004,179.1954412
393,A-669,aluminium(3+) ion 6-sulfonato-1-[(E)-2-(4-sulfonatophenyl)diazen-1-yl]naphthalen-2-olate,"InChI=1S/C16H12N2O7S2.Al/c19-15-8-1-10-9-13(27(23,24)25)6-7-14(10)16(15)18-17-11-2-4-12(5-3-11)26(20,21)22;/h1-9,19H,(H,20,21,22)(H,23,24,25);/q;+3/p-3",FFVVMXXUKCHQFS-UHFFFAOYSA-K,[Al+3].[O-]c1ccc2cc(ccc2c1N=Nc3ccc(cc3)[S]([O-])(=O)=O)[S]([O-])(=O)=O,-2.936886553,0.0,1.0,G1,432.371,1.7562,95.6924,28.0,9.0,0.0,12.0,4.0,140.0,3.0,0.0,0.0,3.0,162.18,170.5419585,2.8e-06,1272.34066
3735,B-126,pyridoxal,"InChI=1S/C8H9NO3/c1-5-8(12)7(4-11)6(3-10)2-9-5/h2,4,10,12H,3H2,1H3",RADKZDMFGJYCBB-UHFFFAOYSA-N,Cc1ncc(CO)c(C=O)c1O,0.4758,0.0,1.0,G1,167.164,0.40042,41.9491,12.0,4.0,2.0,4.0,2.0,64.0,1.0,0.0,0.0,1.0,70.42,69.49586705,3.347557328,309.416437
5808,B-2723,"benzamide, n-[2-(1h-imidazol-4-yl)ethyl]-","InChI=1S/C12H13N3O/c16-12(10-4-2-1-3-5-10)14-7-6-11-8-13-9-15-11/h1-5,8-9H,6-7H2,(H,13,15)(H,14,16)",DAUCLDROLUGJDY-UHFFFAOYSA-N,O=C(NCCc1c[nH]cn1)c2ccccc2,-0.634,0.0,1.0,G1,215.256,1.3822,61.0669,16.0,2.0,2.0,4.0,4.0,82.0,2.0,0.0,0.0,2.0,57.78,93.72351635,1.80585156,436.552137
7205,C-32,"2,4-hexadienoic acid;  sorbic  acid","InChI=1S/C6H8O2/c1-2-3-4-5-6(7)8/h2-5H,1H3,(H,7,8)/b3-2+,5-4+",WSWCOQWTEOXDQX-MQQKCMAXSA-N,C\C=C\C=C\C(O)=O,-1.77,0.08393629,3.0,G5,112.128,1.2033,31.5898,8.0,1.0,1.0,2.0,2.0,44.0,0.0,0.0,0.0,0.0,37.3,48.14051139,3.500112597,122.490225
7430,C-735,"3-aziridin-1-yl-2,4-dinitro-(n-cyclopropyl)benzamide","InChI=1S/C12H12N4O5/c17-12(13-7-1-2-7)8-5-10(14-3-4-14)11(16(20)21)6-9(8)15(18)19/h5-7H,1-4H2,(H,13,17)",JKLHHVBMBLUNBW-UHFFFAOYSA-N,[O-][N+](=O)C1=C(C=C(C(=O)NC2CC2)C(=C1)[N+]([O-])=O)N3CC3,-3.39,0.0,1.0,G1,292.251,1.2152,72.452,21.0,6.0,1.0,9.0,5.0,110.0,1.0,2.0,2.0,3.0,118.39,118.3865629,2.06660369,651.2930255
8589,D-1458,"benzene, (trichloromethyl)-","InChI=1S/C7H5Cl3/c8-7(9,10)6-4-2-1-3-5-6/h1-5H",XEMRAKSQROQPBR-UHFFFAOYSA-N,ClC(Cl)(Cl)c1ccccc1,-3.567,0.0,1.0,G1,195.476,3.5133,45.679,10.0,0.0,0.0,3.0,0.0,54.0,1.0,0.0,0.0,1.0,0.0,74.70614391,2.966043179,199.841246
